Transcript level ProbeID,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
TC15000070.hg.1, SNORD116-27 ,2.31054972294175,5.8745352168114,5.19791872124166,0.000371588393398783,0.0239638875011197,0.457867329557027
TC07000785.hg.1, FLNC ,2.30802233607938,6.9218978388803,2.74825486173492,0.0201093460184488,0.165960655034659,-3.448590286
TC17001732.hg.1, RNF43 ,-2.294308701,6.48307653164136,-4.635404823,0.000869892932336444,0.0355226710406872,-0.376161078
TC17000158.hg.1, MYOCD ,2.28915972016155,5.45657196601386,2.69358229596923,0.0221101701726948,0.174067030518389,-3.539492955
TC08000575.hg.1, ESRP1 ,-2.287359465,6.19296262875822,-3.6158616,0.00453824733444774,0.0783861907340823,-2.000864469
TC07001546.hg.1, FGL2 ,2.28621714641421,6.46657513870925,3.70560732567248,0.00390399067211435,0.0727407326254767,-1.853079701
TC01002569.hg.1, GUCA2A ,2.28507809417905,7.33936307450497,2.47339611382991,0.0323796934115251,0.213832111476822,-3.902567723
TC06000684.hg.1, BAG2 ,2.26779829407501,5.4956561770548,2.81045161144359,0.0180526055057366,0.156058335141096,-3.344923326
TC11002393.hg.1, CLMP ,2.26749510059229,5.91312580110582,3.93867462858099,0.00265192425392579,0.0607016079713108,-1.472926647
TC18000128.hg.1, DSG2 ,-2.243047387,7.60907893127883,-3.304013843,0.00770439610730052,0.101558341434608,-2.518993905
TC01001311.hg.1, RAB25 ,-2.23210487,6.47140122816836,-3.855367986,0.00304280436555584,0.0649383583312069,-1.608156738
TC01000789.hg.1, NEXN ,2.23162146582876,3.9453330626594,2.9093915685883,0.0152073282281083,0.143723721338901,-3.17959752
TC07000235.hg.1, ANLN ,-2.222365385,5.38036839288768,-6.746643248,4.4899910125752e-05,0.0101489626980718,2.49797286710889
TC10001212.hg.1, CXCL12 ,2.21577915342224,5.57502428444803,9.59317081431657,1.92739979032813e-06,0.00348528244649515,5.3763741597737
TC17000540.hg.1, AOC3 ,2.21410623595068,6.42837261473473,3.37433322878466,0.00683250198162711,0.0952670035103508,-2.401653635
TC22000237.hg.1, SLC5A1 ,-2.203761879,6.80916547983094,-3.456619665,0.00593984806911013,0.0889988629652718,-2.264673201
TC13000120.hg.1, NBEA ,2.18499590495346,4.41538190934201,3.96692533971375,0.0025315977247438,0.0592748560232759,-1.427243695
TC11001049.hg.1, TAGLN ,2.18337608169738,6.96975663584438,3.03944475146929,0.012143312954926,0.127758422925004,-2.961833172
TC17001826.hg.1, ABCA9 ,2.18170307517954,3.35561295537765,4.07843215582747,0.00210969550449214,0.0545386241176075,-1.247844662
TC20000268.hg.1, MYL9 ,2.17405304791623,9.22816515175849,3.31890918478845,0.00751061846858415,0.100293454553446,-2.494119537
TC14000988.hg.1, NOVA1 ,2.17386438261604,3.64074676630757,6.79984334002134,4.19913766399319e-05,0.00994419032665047,2.56153800734671
TC05001481.hg.1, ENC1 ,-2.165598409,5.78812152990885,-7.848047133,1.20171020119755e-05,0.00676836177738754,3.73260833964843
TC14001223.hg.1, GPX2 ,-2.163768552,6.37886185763343,-4.171752162,0.00181338342428982,0.0514008196266845,-1.098877303
TC07001614.hg.1, SGCE ,2.16374109495122,4.97759592856572,4.13020548933191,0.00193951170972689,0.0529540008924002,-1.165062909
TC08000520.hg.1, CHMP4C ,-2.151744536,6.3319815576116,-4.997517582,0.00050050965238782,0.0272988725563389,0.166354173427333
TC15001211.hg.1, MEIS2 ,2.14757091546074,4.50179631586592,3.63487924173841,0.00439544442058223,0.0770136464280051,-1.969489731
TC19001103.hg.1, C3 ,2.14693418347781,7.33998992874439,3.38362338591627,0.00672515197577054,0.0945473572443718,-2.386169459
TC15000391.hg.1, SLC27A2 ,-2.137829475,5.47956134666727,-4.799812113,0.000675258400429599,0.0315820739335656,-0.127367007
TC07001563.hg.1, CACNA2D1 ,2.13452415249238,4.10092729423657,3.28826599356996,0.00791485189447017,0.102601318641997,-2.545301891
TC06001882.hg.1, FILIP1 ,2.1339973926981,3.98969737941031,2.78665621200753,0.0188133120152772,0.159892961749824,-3.384612887
TC06001952.hg.1, EPHA7 ,2.12772071316902,4.22092536361986,3.49215080659888,0.00559245079540481,0.0862627417403917,-2.205653251
TC04001504.hg.1, PDE5A ,2.12448608678972,4.92320103787899,3.8994982061442,0.0028287651810926,0.0627336499579224,-1.536426053
TC19000584.hg.1, CEACAM6 ,-2.123606233,8.68573276513365,-1.899895868,0.0859213527724225,0.357244329173344,-4.805143131
TC15000069.hg.1, SNORD116-26 ,2.12301851200205,6.28187507223839,5.09545244178377,0.000432401927477486,0.0257017033423207,0.309602578023299
TC01001688.hg.1, ATP2B4 ,2.12235534094471,7.03070865651914,3.21462136518566,0.00898013744751587,0.109436777689199,-2.668448954
TC17001243.hg.1, MFAP4 ,2.11895420123754,6.87378174791029,8.13952272437761,8.67209284284661e-06,0.00644636986417582,4.03220539461515
TC12000313.hg.1, PDZRN4 ,2.11791698529324,2.90105647969659,2.70190783466702,0.0217931135688932,0.17274708012824,-3.525665562
TC11002235.hg.1, MMP3 ,-2.113277679,4.59267349180063,-3.093873367,0.0110544458566012,0.121458336568052,-2.870645402
TC03002078.hg.1, LIPH ,-2.111729307,6.48547216054124,-2.274217235,0.0456311523545549,0.257484858177331,-4.224878548
TC04001570.hg.1, SLC7A11 ,-2.100130681,4.38771661354078,-4.338468137,0.00138773686875664,0.0446882955229792,-0.835567239
TC01002903.hg.1, DPYD ,2.09647417212486,5.11175464006571,7.74414822379981,1.35284314441798e-05,0.00678383641245824,3.62318119855944
TC20000198.hg.1, TPX2 ,-2.092788088,6.07274856917518,-4.296284424,0.00148440122933826,0.0465057431793079,-0.901839877
TC10001522.hg.1, PPP1R3C ,2.08156862831847,4.76551323688306,2.95092550787156,0.014151966341422,0.138443490400347,-3.110088719
TC10000826.hg.1, PLEKHS1 ,-2.077524463,4.85328696124878,-3.462580838,0.00588004470280982,0.0884899828603623,-2.254765499
